x,y
8.919747232755547,-6.009806718592829
8.882910502842961,-6.066031201090988
8.851890098706045,-6.108684256779245
8.820495931537147,-6.145517169664187
8.779107326416334,-6.195850481659925
8.735513540271644,-6.2565656732954205
8.689385317295963,-6.326901277795119
8.640393401682159,-6.406095828383459
8.588208537623116,-6.493387858284885
8.532501469311704,-6.588015900723839
8.472942940940802,-6.689218488924761
8.409203696703289,-6.796234156112094
8.340954480792039,-6.908301435510281
8.26786603739993,-7.024658860343763
8.189609110719838,-7.144544963836982
8.10585444494464,-7.267198279214382
8.016386034505537,-7.391877407282188
7.922128226931193,-7.518043015786046
7.824665236968889,-7.6452726988425574
7.725589321992988,-7.773145475696238
7.626492739377861,-7.901240365591609
7.528967746497879,-8.029136387773196
7.434606600727412,-8.156412561485514
7.345001559440823,-8.282647905973082
7.261744880012489,-8.407421440480425
7.186428819816774,-8.530312184252061
7.120645636228047,-8.65089915653251
7.065987586620679,-8.768761376566296
7.024046928369039,-8.883477863597934
6.996415918847496,-8.99462763687195
6.9846868154304165,-9.10178971563286
6.990451875492173,-9.204543119125185
7.015303356407134,-9.302466866593448
7.060826669994441,-9.395141599287747
7.127360894731446,-9.482443268271638
7.212558847129948,-9.564884315259537
7.313724079553005,-9.643059937619729
7.4281601443636545,-9.717565332720469
7.553170593924956,-9.788995697930043
7.68605898059995,-9.857946230616715
7.824128856751688,-9.925012128148754
7.96468377474322,-9.99078858789444
8.105027286937595,-10.05587080722204
8.24247987325191,-10.120852532842386
8.375599060104532,-10.186221499061606
8.504999255858795,-10.25228916952749
8.631489172246754,-10.319350356478719
8.755877521000462,-10.387699872153991
8.878973013851972,-10.457632528791995
9.001584362533347,-10.52944313863143
9.12452027877663,-10.603426513910978
9.248589474313887,-10.67987746686934
9.37445119396875,-10.758708914271994
9.501761716995015,-10.837271145377224
9.629764710726988,-10.911860205223558
9.757702568319218,-10.978768883256077
9.884817682926249,-11.034289968919861
10.010352447702621,-11.074716251659995
10.133549255802878,-11.096340520921554
10.253650500381564,-11.095455566149631
10.369898574593218,-11.068354176789294
10.481643399474171,-11.012418330059425
10.588764850373964,-10.930398097007787
10.691305788287515,-10.826694487669192
10.789309118784837,-10.705708963595413
10.882817747435945,-10.571842986338222
10.971874579810862,-10.429498017449399
