x,y
8.82606, -3.86299
8.72612, -3.85168
8.66186, -3.80773
8.58903, -3.77586
8.54006, -3.75935
8.49659, -3.72146
8.41302, -3.66754
8.36295, -3.65685
8.32034, -3.62936
8.28112, -3.58671
8.22127, -3.5619
8.19387, -3.51688
8.12866, -3.48567
8.05729, -3.44052
8.00675, -3.41747
7.96228, -3.38514
7.87454, -3.31005
7.82004, -3.28976
7.76269, -3.26877
7.73132, -3.22738
7.64593, -3.17407
7.68305, -3.21151
7.63036, -3.17612
7.57504, -3.15673
7.52347, -3.11571
7.46753, -3.05465
7.38134, -2.99981
7.31129, -2.96786
7.25488, -2.9226
7.18578, -2.89202
7.13471, -2.86591
7.10135, -2.82364
7.0319, -2.77164
6.97132, -2.73179
6.90324, -2.69375
6.83584, -2.6581
6.76596, -2.64103
6.75772, -2.5825
6.7054, -2.56724
6.64605, -2.53984
6.58256, -2.49952
6.53527, -2.46886
6.50837, -2.42319
6.44076, -2.40536
6.39098, -2.363
6.34547, -2.33959
6.26449, -2.28462
6.21235, -2.26576
6.17319, -2.21109
6.10407, -2.19459
6.01609, -2.13948
5.94068, -2.06615
5.87963, -2.07357
5.79954, -2.01741
5.75396, -1.9836
5.70073, -1.95707
5.66041, -1.91643
5.62457, -1.87892
5.50739, -1.81639
5.47178, -1.77755
5.40028, -1.73552
5.33064, -1.70346
5.271, -1.69054
5.22275, -1.66728
5.11399, -1.6155
5.06512, -1.5565
4.95226, -1.50188
4.88798, -1.45557
4.84219, -1.42393
4.79536, -1.40157
4.7615, -1.36457
4.6723, -1.31761
4.61206, -1.28242
4.51187, -1.24781
4.46193, -1.19606
4.42719, -1.14613
4.388, -1.10736
4.34208, -1.08723
4.28576, -1.0427
4.20208, -1.00106
4.15519, -0.976161
4.10164, -0.934238
3.96372, -0.889498
3.93746, -0.841749
3.87043, -0.814473
3.80506, -0.783351
3.75351, -0.772648
3.71181, -0.707571
3.66333, -0.694243
3.61151, -0.669993
3.56877, -0.63797
3.49366, -0.601842
3.46951, -0.549808
3.41919, -0.538123
3.31074, -0.475983
3.25959, -0.462652
3.2074, -0.426305
3.13625, -0.351279
3.0846, -0.315795
3.00725, -0.254033
2.92925, -0.170318
2.88084, -0.124076
2.81514, -0.07537
2.78041, 0.00202821
2.72785, 0.00342704
2.69205, 0.0498631
2.61678, 0.10893
2.568, 0.179557
2.54972, 0.238199
2.50281, 0.25905
2.37836, 0.324202
2.34842, 0.392581
2.28283, 0.415205
2.22373, 0.471947
2.13951, 0.525311
2.09286, 0.552193
2.03705, 0.63485
1.9561, 0.646974
1.90245, 0.684598
1.85167, 0.680589
1.77801, 0.661687
1.73032, 0.680811
1.67583, 0.694536
1.61843, 0.709175
1.54631, 0.713084
1.4744, 0.729748
1.4149, 0.731714
1.36214, 0.722864
1.41264, 0.679407
1.36004, 0.657613
1.27535, 0.679664
1.18992, 0.699562
1.09029, 0.694439
1.03359, 0.691548
