x,y
11.8614, -6.83614
11.7743, -6.77023
11.7416, -6.71954
11.6818, -6.61892
11.6417, -6.55082
11.5636, -6.54318
11.5046, -6.52102
11.4897, -6.46633
11.465, -6.40193
11.4131, -6.39566
11.3729, -6.32978
11.3024, -6.30859
11.2461, -6.31728
11.2198, -6.26515
11.1475, -6.25041
11.0748, -6.20905
11.0309, -6.16494
10.9366, -6.11227
10.8639, -6.08539
10.8105, -6.06221
10.8173, -6.00404
10.7652, -5.94166
10.692, -5.91563
10.6252, -5.89485
10.5816, -5.84674
10.5266, -5.79799
10.5352, -5.74556
10.4756, -5.73188
10.4321, -5.68694
10.3576, -5.64265
10.2973, -5.62988
10.2078, -5.68823
10.1341, -5.67486
10.0692, -5.6654
10.0193, -5.65128
9.95661, -5.6294
9.91268, -5.60546
9.8502, -5.6102
9.79284, -5.57706
9.74441, -5.56213
9.58513, -5.46155
9.52148, -5.44415
9.45528, -5.45685
9.37705, -5.48409
9.27667, -5.50704
9.22087, -5.51169
9.22301, -5.58157
9.20543, -5.6579
9.20619, -5.71054
9.14312, -5.73406
9.09586, -5.8
9.14855, -5.80563
9.12077, -5.89154
9.03542, -5.93003
9.03584, -5.98038
9.02591, -6.04873
8.95329, -6.04647
8.89555, -6.12589
8.93437, -6.22635
8.90348, -6.28296
8.87185, -6.34272
8.76298, -6.39779
8.72077, -6.42479
8.64381, -6.49635
8.62038, -6.57267
8.6, -6.64389
8.57958, -6.69556
8.60683, -6.74166
8.54617, -6.70361
8.58031, -6.76247
8.53192, -6.78805
8.59464, -6.79995
8.58466, -6.85761
8.53048, -6.85084
8.58424, -6.82329
8.54395, -6.78028
8.59515, -6.79139
8.53413, -6.79449
8.4917, -6.85215
8.46518, -6.80759
8.4101, -6.85215
8.44973, -6.89862
8.39455, -6.92917
8.33647, -6.95007
8.38851, -6.96387
8.34476, -6.91339
8.28655, -6.99486
8.35682, -6.9934
8.40641, -7.00831
8.36134, -6.98497
8.41286, -7.01073
8.38008, -7.0485
8.42304, -7.01762
8.37145, -7.03902
8.38145, -6.98875
8.42181, -7.03752
8.37326, -7.00546
8.42263, -6.99574
8.37237, -6.9952
8.39532, -7.04023
8.37288, -6.99056
8.38793, -7.0416
8.40545, -7.0892
8.39288, -7.0337
8.37158, -6.97603
